column2	column3
  thesuniljain  So let s understand this  INCIndia n RahulGandhi When you awarded Rs  lakh crore of projects to Anil Ambani Group  he was    	p
  INCIndia  Congress President  RahulGandhi will be in Bengaluru tomorrow where he will be speaking on how Reliance was favoured at the c    	n
  MinhazMerchant  Dear     RahulGandhi     pre- the Ambanis called     INCIndia      cour dukan     Remember? UPA  as     EconomicTimes    reveals  g    	p
  GautamGambhir  Mannan Wani  s death  We killed a terrorist and lost a radicalised talent   OmarAbdullah  MehboobaMufti  INCIndia  BJPIn    	p
 surjitbhalla  INCIndia  thesuniljain two Bhakts whataboutery   Highlighting congress   past sins to justify Modi JI  s                	p
 GautamGambhir  OmarAbdullah  MehboobaMufti  INCIndia  BJPIndia Thanks Gauti bhai    This prespective coming from co WybfYqSo 	p
  BJPMaharashtra  This is the  so-called   INCIndia  amp;  RahulGandhi model of good governance  Maharashtra Youth Congress President Satyaj    	n
  CNNnews   BREAKING     INCIndia is an issueless party  Congress is trying to hide the misdemeanours of its own making  Congress and  R    	p
  JemHassan  BJP won first time in Navayikkulam panchayath election in Thiruvanandapuram BJP was on rd place for last yrs Congress s    	n
  thesuniljain  So let s understand this  INCIndia n RahulGandhi When you awarded Rs  lakh crore of projects to Anil Ambani Group  he was    	neutral
 pbsmba  Karanbh  priyapyadav  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu co RyOYlNKk 	p
  GautamGambhir  Mannan Wani  s death  We killed a terrorist and lost a radicalised talent   OmarAbdullah  MehboobaMufti  INCIndia  BJPIn    	neutral
  GautamGambhir  Mannan Wani  s death  We killed a terrorist and lost a radicalised talent   OmarAbdullah  MehboobaMufti  INCIndia  BJPIn    	n
  GauravMate  Unfortunate that the country is facing huge crisis in terms of economics  and how a economic less  visionless govt contin    	n
 NewsIndia  narendramodi  BJPIndia  INCIndia  samajwadiparty  ShatruganSinha Well Come 	neutral
  INCIndia   MLAs  amp; several office-bearers of BJP in Gujarat have actively participated in the exodus of migrant workers in Gujarat  CM    	neutral
 khushsundar  RahulKajal  SanjaySDutt  INCIndia Long way to go  The vigour is still missing in  INCIndia   Its onl co LkCMJUkxV 	neutral
  TheAshokSingh  UPA govt awarded projects worth   crores to Anil Ambani s companies in their last -years of rule  Reports  Kickba    	neutral
  alamgirizvi  In Gujarat   UP and Bihari are suffering  There family kids and life not safe in Gujarat   n nGujarati boy ko UP ne Goudi me    	neutral
  GHOSTBUSTOR   raviranjansinh  balashernaz  narendramodi  INCIndia Rt  Lt  Gen  Zameeruddin Shah Former VC AMU - IS he still active as    	neutral
  rajeev mp  Another  RahulGandhi lie busted   n nYou hv to admit - the  INCIndia president deserves an   cA    for his persistence in lying n    	n
 aftabcalm  priyapyadav  Karanbh  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu co IbToNFYed 	neutral
 pbsmba  priyapyadav  OManojKumar  PrithaBandyop  Shehla Rashid  yusufiosys  Dibyendu  sanjayuvacha  BNadhani co ByDdIdL 	neutral
 KaushalyaAmrita  Aryathyagarajan  DrShobha  Nidhi  RahulGandhi  INCIndia  TimesNow  republic That is also doubtful  	neutral
  BJPMaharashtra  This is the  so-called   INCIndia  amp;  RahulGandhi model of good governance  Maharashtra Youth Congress President Satyaj    	p
  INCIndia   MLAs  amp; several office-bearers of BJP in Gujarat have actively participated in the exodus of migrant workers in Gujarat  CM    	p
  AnthonySald   Kanwal  DickDarryl  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan  AditiSinghI    	neutral
 SifatiAhad  Kanwal  Nattashasharrma  RahulGandhi  sushmitadevmp  Sharmistha GK  NayakRagini  AmritaDhawan co ifmDTeFkvZ 	p
  RenukaJain  Inflation at    for September  n nThis is biggest achievement of Mr Modi  Despite of high fuel prices they have been able    	p
  JemHassan  BJP won first time in Navayikkulam panchayath election in Thiruvanandapuram BJP was on rd place for last yrs Congress s    	neutral
